"month_year","complaint_type","rank","cantidad_reclamos"
"2013-12",PLUMBING,5,7979
"2013-12",PAINT - PLASTER,6,6292
"2013-12",Blocked Driveway,7,5840
"2013-12",Street Condition,8,5211
"2013-12",Traffic Signal Condition,9,4471
"2013-12",NONCONST,10,3779
"2014-01",HEATING,1,59870
"2014-01",Noise - Residential,2,12213
"2014-01",PLUMBING,3,10987
"2014-01",GENERAL CONSTRUCTION,4,10373
"2014-01",Street Condition,5,9548
"2014-01",PAINT - PLASTER,6,7455
"2014-01",Street Light Condition,7,7127
"2014-01",Water System,8,6276
"2014-01",Blocked Driveway,9,5677
"2014-01",Traffic Signal Condition,10,5592
"2014-02",HEATING,1,28945
"2014-02",Street Condition,2,15414
"2014-02",Noise - Residential,3,11916
"2014-02",Snow,4,10034
"2014-02",PLUMBING,5,8858
"2014-02",Blocked Driveway,6,8193
"2014-02",Street Light Condition,7,6869
"2014-02",GENERAL CONSTRUCTION,8,5497
"2014-02",Traffic Signal Condition,9,5197
"2014-02",PAINT - PLASTER,10,4657
"2014-03",Street Condition,1,14701
"2014-03",HEAT/HOT WATER,2,14462
"2014-03",Noise - Residential,3,13347
"2014-03",HEATING,4,8782
"2014-03",Street Light Condition,5,8004
"2014-03",PAINT/PLASTER,6,6595
"2014-03",Blocked Driveway,7,6181
"2014-03",PLUMBING,8,5844
"2014-03",Illegal Parking,9,4914
"2014-03",General Construction/Plumbing,10,4747
"2014-04",Noise - Residential,1,13878
"2014-04",HEAT/HOT WATER,2,13382
"2014-04",Street Condition,3,12287
"2014-04",Street Light Condition,4,8040
"2014-04",PAINT/PLASTER,5,5921
"2014-04",Blocked Driveway,6,5345
"2014-04",UNSANITARY CONDITION,7,5009
"2014-04",Noise,8,4829
"2014-04",Illegal Parking,9,4620
"2014-04",General Construction/Plumbing,10,4260
"2014-05",Noise - Residential,1,19041
"2014-05",Street Condition,2,13843
"2014-05",Street Light Condition,3,8500
"2014-05",PAINT/PLASTER,4,6557
"2014-05",Blocked Driveway,5,6006
"2014-05",Noise,6,5738
"2014-05",UNSANITARY CONDITION,7,5612
"2014-05",Illegal Parking,8,5435
"2014-05",Sewer,9,4878
"2014-05",General Construction/Plumbing,10,4293
"2014-06",Noise - Residential,1,19652
"2014-06",Street Condition,2,12126
"2014-06",Street Light Condition,3,7979
"2014-06",Blocked Driveway,4,6544
"2014-06",UNSANITARY CONDITION,5,5989
"2014-06",Water System,6,5883
"2014-06",Noise - Street/Sidewalk,7,5772
"2014-06",Illegal Parking,8,5709
"2014-06",PAINT/PLASTER,9,5557
"2014-06",Noise,10,4915
"2014-07",Noise - Residential,1,16886
"2014-07",Street Light Condition,2,8396
"2014-07",Water System,3,8098
"2014-07",Street Condition,4,7935
"2014-07",UNSANITARY CONDITION,5,7588
"2014-07",PAINT/PLASTER,6,6713
"2014-07",Blocked Driveway,7,5964
"2014-07",Illegal Parking,8,5589
"2014-07",Noise - Street/Sidewalk,9,5029
"2014-07",General Construction/Plumbing,10,4666
"2014-08",Noise - Residential,1,20632
"2014-08",Street Light Condition,2,7826
"2014-08",UNSANITARY CONDITION,3,7329
"2014-08",Street Condition,4,6035
"2014-08",Blocked Driveway,5,5810
"2014-08",PAINT/PLASTER,6,5762
"2014-08",Noise - Street/Sidewalk,7,5538
"2014-08",Illegal Parking,8,4991
"2014-08",Water System,9,4474
"2014-08",Noise,10,4147
"2014-09",Noise - Residential,1,16866
"2014-09",Street Light Condition,2,7938
"2014-09",UNSANITARY CONDITION,3,7487
"2014-09",Blocked Driveway,4,6942
"2014-09",Illegal Parking,5,6265
"2014-09",Street Condition,6,6106
"2014-09",PAINT/PLASTER,7,5681
"2014-09",Noise,8,4883
"2014-09",Noise - Street/Sidewalk,9,4487
"2014-09",General Construction/Plumbing,10,4181
"2014-10",Noise - Residential,1,16811
"2014-10",HEAT/HOT WATER,2,16733
"2014-10",Street Light Condition,3,8251
"2014-10",Blocked Driveway,4,7219
"2014-10",UNSANITARY CONDITION,5,7029
"2014-10",Illegal Parking,6,6026
"2014-10",PAINT/PLASTER,7,5828
"2014-10",Street Condition,8,5484
"2014-10",Noise,9,5368
"2014-10",PLUMBING,10,4353
"2014-11",HEAT/HOT WATER,1,42458
"2014-11",Noise - Residential,2,15878
"2014-11",Blocked Driveway,3,7450
"2014-11",Street Light Condition,4,7435
"2014-11",UNSANITARY CONDITION,5,5959
"2014-11",Illegal Parking,6,5649
"2014-11",PAINT/PLASTER,7,5331
"2014-11",PLUMBING,8,4631
"2014-11",Street Condition,9,4469
"2014-11",Noise,10,4275
"2014-12",HEAT/HOT WATER,1,31702
"2014-12",Noise - Residential,2,15488
"2014-12",Street Light Condition,3,8300
"2014-12",Blocked Driveway,4,7839
"2014-12",Street Condition,5,6597
"2014-12",UNSANITARY CONDITION,6,6147
"2014-12",Illegal Parking,7,5763
"2014-12",PAINT/PLASTER,8,5722
"2014-12",PLUMBING,9,4819
"2014-12",Literature Request,10,4091
"2015-01",HEAT/HOT WATER,1,49106
"2015-01",Noise - Residential,2,15343
"2015-01",Street Condition,3,7267
"2015-01",Blocked Driveway,4,7237
"2015-01",Street Light Condition,5,7022
"2015-01",UNSANITARY CONDITION,6,5953
"2015-01",PAINT/PLASTER,7,5793
"2015-01",Water System,8,5514
"2015-01",PLUMBING,9,5357
"2015-01",Illegal Parking,10,5255
"2015-02",HEAT/HOT WATER,1,49586
"2015-02",Noise - Residential,2,13304
"2015-02",Street Condition,3,9831
"2015-02",Blocked Driveway,4,8285
"2015-02",Snow,5,8268
"2015-02",Street Light Condition,6,7286
"2015-02",Water System,7,7089
"2015-02",PLUMBING,8,6006
"2015-02",UNSANITARY CONDITION,9,5816
"2015-02",PAINT/PLASTER,10,5808
"2015-03",Street Condition,1,25630
"2015-03",HEAT/HOT WATER,2,22970
"2015-03",Noise - Residential,3,14968
"2015-03",Blocked Driveway,4,9035
"2015-03",Street Light Condition,5,8523
"2015-03",Illegal Parking,6,7182
"2015-03",PAINT/PLASTER,7,6390
"2015-03",UNSANITARY CONDITION,8,6066
"2015-03",Water System,9,6055
"2015-03",Traffic Signal Condition,10,5417
"2015-04",Street Condition,1,16746
"2015-04",Noise - Residential,2,16116
"2015-04",HEAT/HOT WATER,3,13526
"2015-04",Street Light Condition,4,9030
"2015-04",Illegal Parking,5,6918
"2015-04",Blocked Driveway,6,6867
"2015-04",UNSANITARY CONDITION,7,5897
"2015-04",PAINT/PLASTER,8,5614
"2015-04",Noise,9,5450
"2015-04",Water System,10,5215
"2015-05",Noise - Residential,1,22923
"2015-05",Street Condition,2,11359
"2015-05",Street Light Condition,3,8625
"2015-05",Illegal Parking,4,8105
"2015-05",Blocked Driveway,5,8103
"2015-05",Noise - Street/Sidewalk,6,7157
"2015-05",Noise,7,5980
"2015-05",UNSANITARY CONDITION,8,5789
"2015-05",Water System,9,5165
"2015-05",PAINT/PLASTER,10,4982
"2015-06",Noise - Residential,1,18494
"2015-06",Street Condition,2,11914
"2015-06",Street Light Condition,3,8639
"2015-06",Illegal Parking,4,8604
"2015-06",Blocked Driveway,5,8583
"2015-06",UNSANITARY CONDITION,6,7069
"2015-06",Water System,7,6857
"2015-06",Noise - Street/Sidewalk,8,6279
"2015-06",PAINT/PLASTER,9,5748
"2015-06",Noise,10,5242
"2015-07",Noise - Residential,1,17962
"2015-07",Water System,2,10070
"2015-07",Street Condition,3,8604
"2015-07",UNSANITARY CONDITION,4,8244
"2015-07",Illegal Parking,5,8185
"2015-07",Street Light Condition,6,8089
"2015-07",Blocked Driveway,7,7663
"2015-07",Noise - Street/Sidewalk,8,7651
"2015-07",PAINT/PLASTER,9,6058
"2015-07",General Construction/Plumbing,10,5085
"2015-08",Noise - Residential,1,19547
"2015-08",Street Condition,2,8858
"2015-08",UNSANITARY CONDITION,3,8374
"2015-08",Illegal Parking,4,8102
"2015-08",Street Light Condition,5,7923
"2015-08",Noise - Street/Sidewalk,6,7812
"2015-08",Blocked Driveway,7,7765
"2015-08",Water System,8,7289
"2015-08",PAINT/PLASTER,9,5847
"2015-08",General Construction/Plumbing,10,4762
"2015-09",Noise - Residential,1,18984
"2015-09",Illegal Parking,2,8770
"2015-09",Blocked Driveway,3,8703
"2015-09",Street Light Condition,4,8653
"2015-09",UNSANITARY CONDITION,5,8421
"2015-09",Street Condition,6,6790
"2015-09",Noise - Street/Sidewalk,7,6490
"2015-09",PAINT/PLASTER,8,6153
"2015-09",Noise,9,5189
"2015-09",Water System,10,5154
"2015-10",HEAT/HOT WATER,1,25495
"2015-10",Noise - Residential,2,16777
"2015-10",Blocked Driveway,3,9435
"2015-10",Street Light Condition,4,8543
"2015-10",Illegal Parking,5,8524
"2015-10",UNSANITARY CONDITION,6,8032
"2015-10",PAINT/PLASTER,7,6485
"2015-10",Street Condition,8,6384
"2015-10",Noise,9,6179
"2015-10",PLUMBING,10,4988
"2015-11",HEAT/HOT WATER,1,27572
"2015-11",Noise - Residential,2,16163
"2015-11",Blocked Driveway,3,9664
"2015-11",Illegal Parking,4,8611
