"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2011-07",DEP,Department of Environmental Protection,22650,195.57
"2011-07",DOT,Department of Transportation,19863,216.18
"2011-07",DSNY,Department of Sanitation,15747,943.43
"2011-07",HPD,Department of Housing Preservation and Development,38481,329.66
"2011-07",HPD,HPD,1,0.12
"2011-07",NYPD,New York City Police Department,23447,3.13
"2011-08",DEP,Department of Environmental Protection,17875,231.25
"2011-08",DOT,Department of Transportation,23051,214.57
"2011-08",DSNY,Department of Sanitation,14323,815.71
"2011-08",HPD,Department of Housing Preservation and Development,44863,363.16
"2011-08",NYPD,New York City Police Department,21849,3.07
"2011-09",DEP,Department of Environmental Protection,13100,252.74
"2011-09",DOT,Department of Transportation,22326,207.05
"2011-09",DOT,DOT,2,0.10
"2011-09",DSNY,Department of Sanitation,15294,851.48
"2011-09",HPD,Department of Housing Preservation and Development,50253,333.83
"2011-09",HPD,HPD,1,0.15
"2011-09",NYPD,New York City Police Department,25507,3.01
"2011-10",DEP,Department of Environmental Protection,10920,268.74
"2011-10",DOT,Department of Transportation,22406,255.31
"2011-10",DSNY,Department of Sanitation,13086,688.45
"2011-10",HPD,Department of Housing Preservation and Development,69176,268.78
"2011-10",NYPD,New York City Police Department,23434,3.11
"2011-11",DEP,Department of Environmental Protection,10787,238.58
"2011-11",DOT,Department of Transportation,19501,242.21
"2011-11",DSNY,Department of Sanitation,10955,981.70
"2011-11",HPD,Department of Housing Preservation and Development,67032,261.95
"2011-11",NYPD,New York City Police Department,21658,3.45
"2011-12",DEP,Department of Environmental Protection,8980,252.55
"2011-12",DOT,Department of Transportation,19778,216.02
"2011-12",DSNY,Department of Sanitation,11342,1047.18
"2011-12",HPD,Department of Housing Preservation and Development,71524,232.87
"2011-12",NYPD,New York City Police Department,22057,5.55
"2012-01",DEP,Department of Environmental Protection,9204,207.62
"2012-01",DOT,Department of Transportation,20524,194.19
"2012-01",DSNY,Department of Sanitation,12342,553.89
"2012-01",HPD,Department of Housing Preservation and Development,78121,203.08
"2012-01",NYPD,New York City Police Department,20502,3.46
"2012-02",DEP,Department of Environmental Protection,8844,263.91
"2012-02",DOT,Department of Transportation,18658,225.63
"2012-02",DSNY,Department of Sanitation,10501,598.58
"2012-02",HPD,Department of Housing Preservation and Development,53169,191.31
"2012-02",NYPD,New York City Police Department,19223,3.26
"2012-03",DEP,Department of Environmental Protection,10801,248.07
"2012-03",DOT,Department of Transportation,21375,203.80
"2012-03",DSNY,Department of Sanitation,12526,770.67
"2012-03",HPD,Department of Housing Preservation and Development,47199,181.72
"2012-03",NYPD,New York City Police Department,23468,3.28
"2012-04",DEP,Department of Environmental Protection,10141,214.64
"2012-04",DOT,Department of Transportation,18607,189.75
"2012-04",DSNY,Department of Sanitation,13481,1349.76
"2012-04",HPD,Department of Housing Preservation and Development,38882,182.03
"2012-04",NYPD,New York City Police Department,23684,3.29
"2012-05",DEP,Department of Environmental Protection,13855,185.09
"2012-05",DOT,Department of Transportation,20510,216.64
"2012-05",DSNY,Department of Sanitation,13224,1476.26
"2012-05",HPD,Department of Housing Preservation and Development,33618,262.37
"2012-05",NYPD,New York City Police Department,27569,3.07
"2012-06",DEP,Department of Environmental Protection,18324,171.57
"2012-06",DOT,Department of Transportation,20333,235.64
"2012-06",DSNY,Department of Sanitation,14142,1128.05
"2012-06",HPD,Department of Housing Preservation and Development,32128,294.67
"2012-06",NYPD,New York City Police Department,27285,3.23
"2012-07",DEP,Department of Environmental Protection,20566,132.47
"2012-07",DOT,Department of Transportation,19192,229.64
"2012-07",DSNY,Department of Sanitation,16213,1668.05
"2012-07",HPD,Department of Housing Preservation and Development,35124,283.95
"2012-07",HPD,Division of Alternative Management,2,21792.00
"2012-07",NYPD,New York City Police Department,25871,3.32
"2012-08",DEP,Department of Environmental Protection,13707,177.25
"2012-08",DOT,Department of Transportation,20355,260.49
"2012-08",DSNY,Department of Sanitation,15919,1758.68
"2012-08",HPD,Department of Housing Preservation and Development,36760,271.20
"2012-08",NYPD,New York City Police Department,27034,3.34
"2012-09",DEP,Department of Environmental Protection,11821,172.09
"2012-09",DOT,Department of Transportation,19597,337.96
"2012-09",DSNY,Department of Sanitation,13540,1690.08
"2012-09",HPD,Department of Housing Preservation and Development,33463,261.90
"2012-09",NYPD,New York City Police Department,30592,3.21
"2012-10",DEP,Department of Environmental Protection,11371,196.28
"2012-10",DOT,Department of Transportation,21545,346.76
"2012-10",DSNY,Department of Sanitation,12275,1570.05
"2012-10",HPD,Department of Housing Preservation and Development,44556,297.60
"2012-10",HPD,Division of Alternative Management,1,20040.00
"2012-10",NYPD,New York City Police Department,24814,3.45
"2012-11",DEP,Department of Environmental Protection,8973,137.45
"2012-11",DOT,Department of Transportation,21629,302.89
"2012-11",DSNY,Department of Sanitation,7701,835.64
"2012-11",HPD,Department of Housing Preservation and Development,71920,260.81
"2012-11",HPD,Division of Alternative Management,7,19830.86
"2012-11",NYPD,New York City Police Department,19680,16.66
"2012-12",DEP,Department of Environmental Protection,9682,170.95
"2012-12",DOT,Department of Transportation,22755,659.13
"2012-12",DSNY,Department of Sanitation,10036,2199.53
"2012-12",HPD,Department of Housing Preservation and Development,62420,327.60
"2012-12",HPD,Division of Alternative Management,10,10082.40
"2012-12",NYPD,New York City Police Department,24987,12.45
"2013-01",DEP,Department of Environmental Protection,12880,176.25
"2013-01",DOT,Department of Transportation,24567,303.58
"2013-01",DSNY,Department of Sanitation,13164,1312.90
